"","Date","Open","Close","Adj.Close","Volume","Result","Value"
"1","2010_6_29",19,23.889999,23.889999,18766300,"High",25
"2","2010_6_29",19,23.889999,23.889999,18766300,"Low",17.540001
"3","2010_6_30",25.790001,23.83,23.83,17187100,"High",30.42
"4","2010_6_30",25.790001,23.83,23.83,17187100,"Low",23.299999
"5","2010_7_1",25,21.959999,21.959999,8218800,"High",25.92
"6","2010_7_1",25,21.959999,21.959999,8218800,"Low",20.27
"7","2010_7_2",23,19.200001,19.200001,5139800,"High",23.1
"8","2010_7_2",23,19.200001,19.200001,5139800,"Low",18.709999
"9","2010_7_6",20,16.110001,16.110001,6866900,"High",20
"10","2010_7_6",20,16.110001,16.110001,6866900,"Low",15.83
"11","2010_7_7",16.4,15.8,15.8,6921700,"High",16.629999
"12","2010_7_7",16.4,15.8,15.8,6921700,"Low",14.98
"13","2010_7_8",16.139999,17.459999,17.459999,7711400,"High",17.52
"14","2010_7_8",16.139999,17.459999,17.459999,7711400,"Low",15.57
"15","2010_7_9",17.58,17.4,17.4,4050600,"High",17.9
"16","2010_7_9",17.58,17.4,17.4,4050600,"Low",16.549999
"17","2010_7_12",17.950001,17.049999,17.049999,2202500,"High",18.07
"18","2010_7_12",17.950001,17.049999,17.049999,2202500,"Low",17
"19","2010_7_13",17.389999,18.139999,18.139999,2680100,"High",18.639999
"20","2010_7_13",17.389999,18.139999,18.139999,2680100,"Low",16.9
"21","2010_7_14",17.940001,19.84,19.84,4195200,"High",20.15
"22","2010_7_14",17.940001,19.84,19.84,4195200,"Low",17.76
"23","2010_7_15",19.940001,19.889999,19.889999,3739800,"High",21.5
"24","2010_7_15",19.940001,19.889999,19.889999,3739800,"Low",19
"25","2010_7_16",20.700001,20.639999,20.639999,2621300,"High",21.299999
"26","2010_7_16",20.700001,20.639999,20.639999,2621300,"Low",20.049999
"27","2010_7_19",21.370001,21.91,21.91,2486500,"High",22.25
"28","2010_7_19",21.370001,21.91,21.91,2486500,"Low",20.92
"29","2010_7_20",21.85,20.299999,20.299999,1825300,"High",21.85
"30","2010_7_20",21.85,20.299999,20.299999,1825300,"Low",20.049999
"31","2010_7_21",20.66,20.219999,20.219999,1252500,"High",20.9
"32","2010_7_21",20.66,20.219999,20.219999,1252500,"Low",19.5
"33","2010_7_22",20.5,21,21,957800,"High",21.25
